,Pearson,Spearman
debt_to_saving_ratio,0.5831812236269475,0.6011123292602341
debt_to_payoff_ratio,0.39288434345673096,0.3739965477401081
fht1,0.3812212878757827,0.38122128787578263
spending_vigilance_interaction,0.3408790095303286,0.31625851700305513
set10,0.3234415315179632,0.32679484664674835
debt_high_score_count,0.3105172139687914,0.31051721396879134
vigilance_high_score_count,0.2798784590857798,0.27216186684469496
vigilance_score_sum,0.2798784590857798,0.27216186684469496
vigilance_score_avg,0.2798784590857798,0.27216186684469496
debt_score_avg,0.25675647676732083,0.2452015176578548
debt_score_sum,0.25675647676732083,0.2452015176578548
worship_to_payoff_ratio,0.2176799186208317,0.28869865670808026
loan_to_saving_ratio,0.21483206740832791,0.15832954896623258
debt_score_var,0.21351321301102397,0.24573168372039525
debt_worship_interaction,0.17545175548806538,0.38668641947897814
kmsi1,0.17069718549972973,0.1706971854997297
kmsi7,0.17069718549972973,0.1706971854997297
planning_score_var,0.17069718549972973,0.1706971854997297
loan_extravagance_interaction,0.10150019534744392,0.10334160430091638
vigilance_score_var,0.0994490316197694,0.09944903161976938
spending_high_score_count,0.09656090991705354,0.09357813917720384
spending_score_sum,0.09656090991705354,0.09357813917720384
spending_score_avg,0.09656090991705354,0.09357813917720384
extravagance_to_spending_ratio,0.059393626597149037,0.030895305996576927
loan_score_var,0.03268602252303069,0.03268602252303067
spending_score_var,-0.03268602252303069,-0.03268602252303067
loan_score_avg,-0.04499212706658476,-0.04577838736245417
loan_high_score_count,-0.04499212706658476,-0.04577838736245417
loan_score_sum,-0.04499212706658476,-0.04577838736245417
set9,-0.053708615552957445,-0.053708615552957466
payoff_score_var,-0.053708615552957445,-0.053708615552957466
debt_loan_interaction,-0.12722772045435699,-0.15985638804330232
worship_to_vigilance_ratio,-0.18934557479450734,-0.1891657441411544
payoff_planning_interaction,-0.24010819707636305,-0.23342489046196313
fht2,-0.24514516892273003,-0.24514516892273006
kmsi2,-0.2506402059138015,-0.25064020591380154
payoff_score_avg,-0.31275876860174223,-0.23584386585160333
payoff_score_sum,-0.31275876860174223,-0.23584386585160333
payoff_high_score_count,-0.31275876860174223,-0.23584386585160333
fht3,-0.48489521259632873,-0.5864350721998931
planning_score_sum,-0.48489521259632873,-0.4398263041499198
planning_score_avg,-0.48489521259632873,-0.4398263041499198
planning_high_score_count,-0.48489521259632873,-0.4398263041499198
fht7,-0.5549890273805606,-0.5549890273805604
saving_score_avg,-0.6063622226698266,-0.6224663745652349
saving_score_sum,-0.6063622226698266,-0.6224663745652349
fht4,-0.662993544131796,-0.6629935441317959
saving_high_score_count,-0.7073278556897409,-0.6924501277977928
fht5,,
fht6,,
fht8,,
kmsi3,,
kmsi4,,
kmsi5,,
kmsi6,,
kmsi8,,
worship_score_sum,,
worship_score_avg,,
extravagance_score_sum,,
extravagance_score_avg,,
worship_extravagance_interaction,,
worship_high_score_count,,
extravagance_high_score_count,,
saving_score_var,,
worship_score_var,,
extravagance_score_var,,
